From city;To city;Distance
London;Paris;342
London;Berlin;932
London;Oslo;1153
Paris;Zurich;488
Paris;Budapest;1244
Paris;Rome;1106
Paris;Madrid;1052
Madrid;Rome;1363
Madrid;Athens;2370
Oslo;Stockholm;416
Stockholm;Helsinki;395
Stockholm;Moscow;1227
Helsinki;Moscow;892
Helsinki;Prague;1301
Hamburg;Stockholm;810
Hamburg;Berlin;255
Hamburg;Munchen;612
Hamburg;Zurich;695
Berlin;Munchen;504
Berlin;Budapest;688
Berlin;Prague;229
Zurich;Wien;573
Wien;Munchen;355
Wien;Budapest;214
Budapest;Prague;444
Budapest;Moscow;1569
Rome;Istanbul;1374
Athens;Istanbul;562
Kiev;Istanbul;1056
Istanbul;Moscow;1755
Rome;Athens;1051
Kiev;Moscow;755
